Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
6.715574583,-3.308569794,12.74524612,1.55616394,13.25932046
6.725550583,-3.282673645,12.93789551,2.322869568,13.54846152
6.735526583,-3.093467102,12.88715103,1.728455658,13.36546892
6.745502583,-2.574645996,12.699142,0.1567240906,12.95845562
6.755478583,-1.946252747,12.49990631,-1.265767822,12.71368262
6.765453583,-1.458716583,12.30456253,-1.782343597,12.51826113
6.775429583,-1.214274902,11.91282715,-1.307830353,12.04576002
6.785405583,-0.8625064087,11.19072876,-0.1950444031,11.22561222
6.795381583,-0.3523672485,10.91290649,1.588197327,11.03349725
6.805357583,0.1678010559,11.23877884,3.050805817,11.64670439
6.815333583,0.5075944519,11.54923325,3.130589905,11.97677059
6.825309583,0.703686676,11.4423555,1.64986908,11.58208713
6.835284583,0.9113049316,11.20015915,-0.03412902832,11.23722414
6.845260583,1.202599182,11.22216339,-1.34914444,11.36676676
6.855236583,1.622476044,11.52887558,-2.11195816,11.83248782
6.865212583,1.957629089,11.84861069,-1.980531464,12.17145808
6.875188583,2.093097382,11.89187073,-0.8930429077,12.1076493
6.885164583,1.688339081,11.48995651,0.5786965942,11.6277461
6.895139583,0.7258406067,10.49497559,1.735041962,10.66216337
6.905115583,0.08786727905,9.618997192,2.315385132,9.89413139
6.915091583,-0.4923262024,8.87743927,2.217937775,9.163545223
6.925067583,-0.8828640747,8.412206726,1.759441223,8.639462043
6.935043583,-1.04258194,8.04786438,1.161584473,8.197827558
6.945019583,-1.084943848,7.79039978,0.4703219604,7.879634169
6.954995583,-0.9648934937,7.932604065,0.2439926147,7.994795751
6.964970583,-0.9163943481,7.914192352,0.496816864,7.982546347
6.974946583,-0.9578581238,7.932604065,0.7720944214,8.02744226
6.984922583,-0.8903485107,7.897726593,0.8916957092,7.997620086
6.994898583,-0.7746391296,7.885302429,1.076710968,7.99608446
7.004874583,-0.7665559387,7.829318848,1.003513184,7.930503158
7.014850583,-0.7771838379,7.631729736,0.9803114319,7.733584162
7.024825583,-0.7580236816,7.571405182,0.9267228699,7.66548052
7.034801583,-0.7066804504,7.586673431,0.9461824036,7.678038301
7.044777583,-0.7334747314,7.47096405,1.015787659,7.575296271
7.054753583,-0.7310797119,7.402256927,1.224304047,7.538355627
7.064729583,-0.7113208008,7.407945099,1.442250824,7.580482525
7.074705583,-0.576151886,7.423363037,1.639540558,7.624064731
7.084680583,-0.1817221069,7.440876617,1.691482544,7.632875013
7.094659083,0.1669029236,7.473508759,1.658251648,7.657087454
7.104635083,0.3975732422,7.430248718,1.916165314,7.683641715
7.114611083,0.5249583435,7.366481323,2.212399292,7.709431819
7.124587083,0.5590873718,7.357200623,2.482587433,7.784871229
7.134563083,0.5601351929,7.385940857,2.628234558,7.859611356
7.144539083,0.5023553467,7.483986969,2.618953857,7.94489403
7.154514083,0.2884501648,7.581584015,2.742297363,8.067454028
7.164490083,-0.1541793823,7.692503357,2.989433441,8.254398311
7.174466083,-0.8716374207,7.992329865,3.328478394,8.7014859
7.184442083,-1.541793823,8.437953186,3.698808289,9.341165073
7.194418083,-2.175725555,8.981173553,4.019142151,10.07714065
7.204394083,-2.763403473,9.518106995,4.239633636,10.77985403
7.214369083,-3.144960022,10.05533981,4.611610107,11.50076433
7.224345083,-3.364553375,10.42372375,5.335055695,12.18347469
7.234321083,-3.516637115,10.75124268,5.697601776,12.66564731
7.244297083,-3.686384125,10.7588768,5.583988037,12.66979796
7.254273083,-3.568579102,10.51892578,5.279072113,12.29842099
7.264249083,-3.138373718,10.38974442,5.227130127,12.04653759
7.274225083,-2.642155609,10.60784088,5.563330994,12.26612923
7.284200083,-2.079775085,11.06334366,5.711822205,12.6233098
7.294176083,-1.414857788,11.69742508,4.960833893,12.78442212
7.304152083,-1.050365753,12.14364716,2.81175293,12.50909225
7.314128083,-1.199904785,11.90534271,-0.09056167603,11.96600008
7.324104083,-1.128054199,11.34131561,-1.235979767,11.46410014
7.334080083,-0.9177415466,10.95646591,-1.761387177,11.13502939
7.344056083,-0.819994812,10.79510147,-2.352358246,11.07881747
7.354031083,-0.6024971008,10.74914703,-1.682351532,10.89667249
7.364007083,-0.3453318787,10.50620224,-0.7509883118,10.53866799
7.373983083,0.2591111755,10.42746597,-0.1407073975,10.4316338
7.383959083,0.9747729492,10.5597908,0.1387614441,10.60559375
7.393935083,1.473685455,10.6287973,0.03143463135,10.73052045
7.403911083,1.419947205,10.28990204,-0.1595681763,10.38863783
7.413887083,0.6724017334,9.608069916,-0.6132746887,9.651074419
7.423862083,0.0722996521,9.144483948,-0.7505392456,9.175517591
7.433838083,-0.08053253174,8.979976044,-0.845741272,9.020073921
7.443814083,0.1245410156,8.986412659,-1.129251709,9.057943053
7.453790083,0.5511538696,8.910819855,-0.8015830994,8.963761294
7.463766083,0.7360194397,8.529862061,-0.001796264648,8.561557955
7.473742083,0.6328839111,8.057444458,0.8307723999,8.124846831
7.483718083,0.08367599487,7.75178009,1.226100311,7.848593391
7.493693083,-0.6089337158,8.161178741,1.175804901,8.267899122
7.503669083,-0.7476951599,8.934620361,0.8267308044,9.003886543
7.513645083,-0.8566685486,9.615105286,0.2490820312,9.656405776
7.523621083,-1.22864502,10.00025436,-0.168848877,10.0768629
7.533597083,-1.5819104,10.40381516,-0.3918850708,10.53068774
7.543573083,-1.85344574,10.74226135,-0.4872367859,10.91186692
7.553549083,-2.175126801,10.83431992,-0.5463638306,11.06400371
7.563524083,-2.665656738,10.54542068,-0.3725752258,10.88349372
7.573500083,-3.133134613,10.09785141,0.565973053,10.58789219
7.583476083,-3.430117035,9.610015869,1.501826935,10.31375742
7.593452083,-3.344345398,9.200168152,1.662442932,9.929323072
7.603428083,-2.762804718,9.193881226,1.402733002,9.701968964
7.613404083,-2.279160461,9.352700958,0.9205856323,9.670318792
7.623380083,-2.132016449,9.254056091,0.5514532471,9.512473336
7.633355083,-2.110461273,9.024134216,0.26210495,9.271339933
7.643331083,-1.995200958,8.810229034,0.2243833923,9.036111465
7.653307083,-1.70719986,8.784033508,0.5442681885,8.964931896
7.663283083,-1.416055298,8.724307709,0.8110134888,8.875612682
7.673259083,-1.261576538,8.751251678,0.827479248,8.880354903
7.683235083,-1.438658295,8.664581909,0.4947212219,8.797128306
7.693211083,-1.563348999,8.639134827,0.1986369324,8.781695012
7.703186083,-1.644180908,8.590485992,0.01422042847,8.746426851
7.713162083,-1.940863953,8.681945801,-0.2127076721,8.898785329
7.723138083,-2.208058319,8.976233826,-0.2721340942,9.247829594
7.733114083,-2.273921356,9.175469513,-0.09280700684,9.45349524
7.743090083,-2.34487381,9.251062317,0.1944456482,9.545595649
7.753066083,-2.369123383,9.343420258,0.4692741394,9.650516356
7.763042083,-2.430645447,9.410331116,0.6692582703,9.742190494
7.773018083,-2.550546112,9.466464386,0.6762936401,9.827339748
7.782993083,-2.500849457,9.623637543,0.5146298218,9.956580307
7.792969083,-2.314786377,9.688452759,0.3496728516,9.967277659
7.802945083,-2.185904388,9.532776489,0.172591095,9.781707074
7.812921083,-2.126328278,9.384285278,0.008382568359,9.622169838
7.822897083,-2.09100174,9.314680023,-0.1357676697,9.547459613
7.832873083,-2.019450531,9.370214539,-0.228874054,9.588090753
7.842849083,-1.995500336,9.427545319,-0.2586621094,9.639893071
